term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.7984132312592465,0.06238627759971519,28.82706422714114,9.825197313927142e-183,1.6761383740342868,1.9206880884842061
C(tense)[T.past perfect],-0.05278189522878833,0.06882972180685872,-0.7668474293256368,0.44317223305370324,-0.1876856710361426,0.08212188057856591
C(tense)[T.present continuous],-0.17504228864395832,0.06882972180685831,-2.543120675907146,0.01098672770309332,-0.3099460644513118,-0.040138512836604856
C(tense)[T.present perfect],-0.2800140380859305,0.06882972180685862,-4.068214003126019,4.7374861961473454e-05,-0.4149178138932846,-0.14511026227857643
C(tense)[T.simple future],0.024788992745556456,0.06882972180685736,0.3601495414309053,0.7187353063206501,-0.11011478306179512,0.15969276855290804
C(tense)[T.simple past],-0.03859296526225982,0.06882972180685783,-0.56070203756678,0.5750006779423833,-0.17349674106961233,0.0963108105450927
C(syntactic_role)[T.subject],-0.4609633672804982,0.05064839977475994,-9.101242474203778,8.930425976783191e-20,-0.5602324067136143,-0.3616943278473821
C(valence)[T.-val],0.13319818405880138,0.044167271771852284,3.015766623459145,0.002563304673432318,0.046631922090578315,0.21976444602702444
C(dominance)[T.-dom],0.12355840773810048,0.027260631972331716,4.532485081912502,5.829379418188811e-06,0.07012855087652922,0.17698826459967174
C(profession)[T.carpenter],1.7485677083333298,0.07923798293446828,22.067292018014104,6.518019529528121e-108,1.5932641155741725,1.903871301092487
C(profession)[T.cashier],-1.2066121419270561,0.07240633827979413,-16.664454667828103,2.376461547963336e-62,-1.3485259572078765,-1.0646983266462358
C(profession)[T.ceo],0.5852701822916587,0.08481727910198911,6.9003649785546255,5.186910100715444e-12,0.4190313699850783,0.7515089945982392
C(profession)[T.cleaner],-1.2406392415364393,0.07253906149475034,-17.103050631916773,1.4083551831476764e-65,-1.3828131895384863,-1.0984652935343924
C(profession)[T.cook],-0.6591369628906049,0.07274021453646248,-9.061520743249929,1.2864429673434053e-19,-0.8017051636097883,-0.5165687621714214
C(profession)[T.designer],-0.6610127766926838,0.07234931874139121,-9.136406371087457,6.456207819314147e-20,-0.8028148357318192,-0.5192107176535483
C(profession)[T.driver],0.6313476562500108,0.07474979115789421,8.446146089109643,3.01076893384113e-17,0.48484075772864754,0.777854554771374
C(profession)[T.lawyer],0.111897786458348,0.07401734461051876,1.5117779089098256,0.13059037110241317,-0.03317354320955865,0.2569691161262546
C(profession)[T.manager],0.006705729166673527,0.0786805440725005,0.08522728516587921,0.9320806990682897,-0.14750530349944388,0.16091676183279094
C(profession)[T.receptionist],-2.361584472656209,0.07884830274436044,-29.95098677409539,4.271622210381535e-197,-2.5161243062772662,-2.2070446390351517
C(profession)[T.salesperson],0.10725097656251692,0.07386923731786477,1.4519031258033446,0.14652854330105944,-0.037530068145940176,0.252032021270974
C(profession)[T.secretary],-2.60086873372392,0.08998836127997113,-28.902279102873273,1.117727927024855e-183,-2.777242680860442,-2.424494786587398
C(profession)[T.teacher],-1.3754801432291446,0.07237470390307184,-19.00498473985141,1.5509111281000208e-80,-1.5173319562709158,-1.2336283301873734
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.10086582728794868,0.03338731919900689,-3.021081946913214,0.0025187318310455355,-0.16630377045834488,-0.03542788411755249
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.1258972167968765,0.03338731919900692,-3.7708093916273815,0.00016271892658448157,-0.19133515996727274,-0.06045927362648024
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.0528782435825921,0.03338731919900692,-1.5837822518007052,0.11324327951331863,-0.11831618675298836,0.012559699587804153
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.10905761718750182,0.03338731919900691,-3.2664382706936737,0.0010890954943258272,-0.17449556035789804,-0.04361967401710559
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.023291887555801426,0.03338731919900693,0.697626767125832,0.48541063741577684,-0.042146055614594835,0.0887298307261977
C(tense)[T.past perfect]:C(valence)[T.-val],0.0931893484933031,0.0333873191990069,2.7911599592001686,0.00525195099036678,0.02775140532290689,0.15862729166369932
C(tense)[T.present continuous]:C(valence)[T.-val],-0.03956211635044901,0.03338731919900689,-1.1849443830646273,0.23603943754619983,-0.10500005952084521,0.025875826819947184
C(tense)[T.present perfect]:C(valence)[T.-val],0.08874075753348108,0.0333873191990069,2.6579180258390034,0.007862501475536165,0.023302814363084873,0.1541787007038773
C(tense)[T.simple future]:C(valence)[T.-val],0.028327287946425406,0.033387319199006844,0.8484445180392933,0.3961904588022689,-0.037110655223970695,0.0937652311168215
C(tense)[T.simple past]:C(valence)[T.-val],0.11464059012276544,0.033387319199006865,3.4336566359055123,0.000595498026032569,0.0492026469523693,0.1800785332931616
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.09476754324776876,0.03338731919900689,-2.8384292456337024,0.004533616932974814,-0.16020548641816496,-0.029329600077372564
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.050178745814734825,0.033387319199006886,-1.502928267934354,0.13285754260925298,-0.115616688985131,0.015259197355661357
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.09292428152901916,0.03338731919900691,-2.7832208083296233,0.005382216260444774,-0.15836222469941538,-0.027486338358622936
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.10527343750000327,0.03338731919900683,-3.153096445764799,0.0016154842326676845,-0.17071138067039934,-0.0398354943296072
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.09560982840402046,0.033387319199006865,-2.863656942150194,0.004187812966443578,-0.1610477715744166,-0.030171885233624324
C(tense)[T.past perfect]:C(profession)[T.carpenter],-0.1418945312500058,0.08833454354370425,-1.6063311764304562,0.10820116380763307,-0.3150270551864513,0.031237992686439675
C(tense)[T.present continuous]:C(profession)[T.carpenter],-0.13666992187501256,0.08833454354370415,-1.5471854655296218,0.12181852972175992,-0.3098024458114579,0.03646260206143273
C(tense)[T.present perfect]:C(profession)[T.carpenter],-0.24672851562500528,0.08833454354370425,-2.7931147400216574,0.005220317145288735,-0.41986103956145077,-0.07359599168855979
C(tense)[T.simple future]:C(profession)[T.carpenter],-0.15717773437501747,0.08833454354370347,-1.779346199907105,0.07518302098888117,-0.33031025831146144,0.015954789561426486
C(tense)[T.simple past]:C(profession)[T.carpenter],-0.12690429687501445,0.08833454354370372,-1.4366327348737389,0.15082237708863977,-0.3000368208114589,0.04622822706143001
C(tense)[T.past perfect]:C(profession)[T.cashier],0.08487548828124541,0.08833454354370426,0.9608414203131366,0.3366319086517622,-0.0882570356552001,0.25800801221769093
C(tense)[T.present continuous]:C(profession)[T.cashier],0.4042602539062384,0.08833454354370404,4.576468476414646,4.728909284815228e-06,0.2311277299697933,0.5773927778426835
C(tense)[T.present perfect]:C(profession)[T.cashier],0.5256225585937454,0.08833454354370428,5.950362536641049,2.6754919689226474e-09,0.3524900346572999,0.6987550825301909
C(tense)[T.simple future]:C(profession)[T.cashier],0.45932006835935807,0.08833454354370347,5.19977859094398,1.9952605940460928e-07,0.2861875444229141,0.632452592295802
C(tense)[T.simple past]:C(profession)[T.cashier],0.14658813476561125,0.08833454354370378,1.659465582601741,0.097022010440982,-0.02654438917083332,0.3197206587020558
C(tense)[T.past perfect]:C(profession)[T.ceo],-0.06176757812500388,0.08833454354370436,-0.6992460213986816,0.4843982942491474,-0.2349001020614496,0.11136494581144182
C(tense)[T.present continuous]:C(profession)[T.ceo],0.107983398437489,0.08833454354370432,1.2224368192276132,0.22154248276314148,-0.06514912549895663,0.2811159223739346
C(tense)[T.present perfect]:C(profession)[T.ceo],0.07778320312499612,0.08833454354370443,0.8805524996742874,0.37856007780535006,-0.09534932081144973,0.25091572706144194
C(tense)[T.simple future]:C(profession)[T.ceo],0.1085449218749836,0.08833454354370354,1.2287936012402778,0.21914920123756032,-0.0645876020614605,0.28167744581142773
C(tense)[T.simple past]:C(profession)[T.ceo],-0.06401367187501288,0.08833454354370386,-0.7246731494496472,0.4686525712117052,-0.23714619581145763,0.10911885206143186
C(tense)[T.past perfect]:C(profession)[T.cleaner],-0.03572387695312869,0.08833454354370435,-0.40441570783069664,0.6859070512421347,-0.20885640088957436,0.137408646983317
C(tense)[T.present continuous]:C(profession)[T.cleaner],0.33297119140623915,0.08833454354370421,3.769433542626493,0.00016361846638955423,0.15983866746979375,0.5061037153426846
C(tense)[T.present perfect]:C(profession)[T.cleaner],0.3114318847656216,0.08833454354370433,3.5255956760736282,0.00042253152072707796,0.13829936082917596,0.4845644087020673
C(tense)[T.simple future]:C(profession)[T.cleaner],0.44624023437498456,0.08833454354370358,5.0517070273217275,4.3787898129523144e-07,0.2731077104385404,0.6193727583114288
C(tense)[T.simple past]:C(profession)[T.cleaner],0.10480957031248743,0.08833454354370388,1.1865071817644302,0.23542206700024937,-0.06832295362395734,0.2779420942489322
C(tense)[T.past perfect]:C(profession)[T.cook],-0.07184448242188055,0.08833454354370437,-0.8133226203442687,0.4160331111815446,-0.24497700635832628,0.10128804151456519
C(tense)[T.present continuous]:C(profession)[T.cook],0.22725219726561252,0.0883345435437043,2.5726311378195716,0.010092871159009593,0.05411967332916692,0.40038472120205815
C(tense)[T.present perfect]:C(profession)[T.cook],0.27537231445311977,0.08833454354370443,3.117379718126652,0.0018246638731042552,0.10223979051667392,0.4485048383895656
C(tense)[T.simple future]:C(profession)[T.cook],0.04067993164060727,0.08833454354370363,0.46052121863833284,0.6451421447461277,-0.132452592295837,0.21381245557705153
C(tense)[T.simple past]:C(profession)[T.cook],0.06397094726561048,0.08833454354370389,0.7241894812527172,0.46894941540679125,-0.10916157667083431,0.23710347120205527
C(tense)[T.past perfect]:C(profession)[T.designer],0.028344726562494663,0.08833454354370422,0.32087930072872206,0.7483018607723159,-0.14478779737395076,0.2014772504989401
C(tense)[T.present continuous]:C(profession)[T.designer],0.2508056640624874,0.08833454354370412,2.839270505070302,0.004521680746737013,0.07767314012604215,0.4239381879989326
C(tense)[T.present perfect]:C(profession)[T.designer],0.2661376953124946,0.08833454354370426,3.0128382922001595,0.002588167900477733,0.09300517137604908,0.4392702192489401
C(tense)[T.simple future]:C(profession)[T.designer],0.3735107421874822,0.08833454354370346,4.228365565761802,2.3539510006217196e-05,0.20037821825103827,0.5466432661239261
C(tense)[T.simple past]:C(profession)[T.designer],0.02380981445311071,0.08833454354370374,0.2695413764302834,0.7875131061634015,-0.1493227094833338,0.1969423383895552
C(tense)[T.past perfect]:C(profession)[T.driver],-0.10117187500000392,0.08833454354370422,-1.1453262895952854,0.2520740196227712,-0.27430439893644937,0.07196064893644151
C(tense)[T.present continuous]:C(profession)[T.driver],0.2685058593749889,0.08833454354370412,3.039647329384158,0.002368553237223012,0.09537333543854365,0.4416383833114341
C(tense)[T.present perfect]:C(profession)[T.driver],0.16323242187499612,0.08833454354370426,1.8478888929135124,0.06461841764970444,-0.009900102061449395,0.3363649458114416
C(tense)[T.simple future]:C(profession)[T.driver],0.2774902343749838,0.0883345435437035,3.1413558415875618,0.0016816757387083704,0.10435771043853981,0.45062275831142784
C(tense)[T.simple past]:C(profession)[T.driver],0.02661132812498711,0.08833454354370367,0.30125619103721424,0.7632191444911971,-0.14652119581145723,0.19974385206143147
C(tense)[T.past perfect]:C(profession)[T.lawyer],0.0342773437499958,0.08833454354370418,0.3880400846022013,0.697986369990051,-0.13885518018644954,0.20740986768644115
C(tense)[T.present continuous]:C(profession)[T.lawyer],-0.024414062500011095,0.088334543543704,-0.2763818266399045,0.7822548135565539,-0.1975465864364561,0.14871846143643389
C(tense)[T.present perfect]:C(profession)[T.lawyer],0.03996582031249587,0.08833454354370425,0.45243705020927,0.6509541609040879,-0.1331667036239496,0.21309834424894136
C(tense)[T.simple future]:C(profession)[T.lawyer],0.08398437499998346,0.08833454354370335,0.9507534836406591,0.3417295309617948,-0.08914814893646025,0.2571168989364272
C(tense)[T.simple past]:C(profession)[T.lawyer],-0.030078125000012917,0.08833454354370375,-0.3405024104203548,0.7334782078694981,-0.20321064893645743,0.1430543989364316
C(tense)[T.past perfect]:C(profession)[T.manager],0.04182128906249595,0.08833454354370432,0.4734420690338937,0.6358978220864676,-0.1313112348739497,0.21495381299894156
C(tense)[T.present continuous]:C(profession)[T.manager],0.23779296874998898,0.08833454354370417,2.6919589914713167,0.007103367905617725,0.06466044481354366,0.4109254926864343
C(tense)[T.present perfect]:C(profession)[T.manager],0.23828124999999606,0.08833454354370432,2.697486628004188,0.00698650906436362,0.06514872606355043,0.4114137739364417
