,Group,C(profession)[T.carpenter],C(profession)[T.cashier],C(profession)[T.ceo],C(profession)[T.cleaner],C(profession)[T.cook],C(profession)[T.designer],C(profession)[T.driver],C(profession)[T.lawyer],C(profession)[T.manager],C(profession)[T.receptionist],C(profession)[T.salesperson],C(profession)[T.secretary],C(profession)[T.teacher],C(syntactic_role)[T.subject]
Group,0.0010124616503836086,0.0009230646782312911,-0.00017943340226224045,0.0008570182804189712,5.689446920889764e-05,9.744154216488198e-05,-2.3196498990740152e-05,0.00030924921576457005,0.0002326972380017228,0.0004665249183001083,-0.0005644192012824606,0.000155941756591555,-0.0007493572234676123,-5.323005545253853e-05,-0.0003837477611676743
C(profession)[T.carpenter],0.0009230646782312911,0.0013676823284654105,-0.00020495534013530265,0.0015889018235665008,0.00018910840187441166,0.0002590537118552873,5.127043646824473e-05,0.000629489670009057,0.0004989900664796418,0.0009252929496320588,-0.0009381358455382211,0.00038109128466716084,-0.0013001437472520798,-2.006957666138671e-06,-0.0006880728040250749
C(profession)[T.cashier],-0.00017943340226224045,-0.00020495534013530265,7.274360662362293e-05,-0.00019632535719895543,-2.8554080591872197e-05,-3.6952105910589294e-05,-1.1720169980198189e-05,-8.108590556495598e-05,-6.509633088486705e-05,-0.00011443808071122642,0.00010349704405679637,-4.970084841435407e-05,0.00014438392799464358,-5.186335750604913e-06,8.10474492373355e-05
C(profession)[T.ceo],0.0008570182804189712,0.0015889018235665008,-0.00019632535719895543,0.003276791209534067,0.0004899426437526858,0.000643049409570848,0.00019295139356440615,0.0014640527389176736,0.0011848127721867758,0.0021683340554692026,-0.0020740667983221222,0.0009601399776581237,-0.002947911312179456,7.720682685176717e-05,-0.001540178809558871
C(profession)[T.cleaner],5.689446920889764e-05,0.00018910840187441166,-2.8554080591872197e-05,0.0004899426437526858,0.00012312747141509178,9.12471393957064e-05,2.7361824659050958e-05,0.00020780339688545172,0.00016824637000159876,0.00030846911115419486,-0.0002967208998961416,0.0001369574417452419,-0.00042216291871258676,1.0787006728997974e-05,-0.00021882068860821428
C(profession)[T.cook],9.744154216488198e-05,0.0002590537118552873,-3.6952105910589294e-05,0.000643049409570848,9.12471393957064e-05,0.00017680838945601201,4.106236015932468e-05,0.00028155267022433194,0.00022882456267649462,0.00041583413143543346,-0.00039097307541743697,0.00018720779892134436,-0.0005586444877744083,1.8964653257747247e-05,-0.00029203620807400396
C(profession)[T.designer],-2.3196498990740152e-05,5.127043646824473e-05,-1.1720169980198189e-05,0.00019295139356440615,2.7361824659050958e-05,4.106236015932468e-05,7.507209417263493e-05,9.489268061549961e-05,7.819841785516228e-05,0.00014060051234571474,-0.00012664472024862778,6.638551722915687e-05,-0.00018482858578016008,1.0208280257889329e-05,-9.633572355728432e-05
C(profession)[T.driver],0.00030924921576457005,0.000629489670009057,-8.108590556495598e-05,0.0014640527389176736,0.00020780339688545172,0.00028155267022433194,9.489268061549961e-05,0.0006975407446867391,0.0005617343735537813,0.0010143121178547085,-0.0009323501521750414,0.0004626632057674852,-0.0013385251480422704,5.649927426591335e-05,-0.000705046761226299
C(profession)[T.lawyer],0.0002326972380017228,0.0004989900664796418,-6.509633088486705e-05,0.0011848127721867758,0.00016824637000159876,0.00022882456267649462,7.819841785516228e-05,0.0005617343735537813,0.0005156484307959371,0.0008774761123468626,-0.000794909369937939,0.0004050446668655522,-0.0011470138081926158,5.554558473925858e-05,-0.0006051051419701301
C(profession)[T.manager],0.0004665249183001083,0.0009252929496320588,-0.00011443808071122642,0.0021683340554692026,0.00030846911115419486,0.00041583413143543346,0.00014060051234571474,0.0010143121178547085,0.0008774761123468626,0.001786847061611212,-0.0016811848930275517,0.0008582428660332258,-0.00243554918637981,0.00011778673127943398,-0.0012753488785944868
C(profession)[T.receptionist],-0.0005644192012824606,-0.0009381358455382211,0.00010349704405679637,-0.0020740667983221222,-0.0002967208998961416,-0.00039097307541743697,-0.00012664472024862778,-0.0009323501521750414,-0.000794909369937939,-0.0016811848930275517,0.0018203948300892544,-0.0008683144920351212,0.0027440758252108687,-5.738918200202319e-05,0.0013934283406443486
C(profession)[T.salesperson],0.000155941756591555,0.00038109128466716084,-4.970084841435407e-05,0.0009601399776581237,0.0001369574417452419,0.00018720779892134436,6.638551722915687e-05,0.0004626632057674852,0.0004050446668655522,0.0008582428660332258,-0.0008683144920351212,0.0004795376162336878,-0.0012852025575838272,5.364148617348795e-05,-0.0006626506774914584
C(profession)[T.secretary],-0.0007493572234676123,-0.0013001437472520798,0.00014438392799464358,-0.002947911312179456,-0.00042216291871258676,-0.0005586444877744083,-0.00018482858578016008,-0.0013385251480422704,-0.0011470138081926158,-0.00243554918637981,0.0027440758252108687,-0.0012852025575838272,0.0051898280620322765,-1.8646803829810264e-05,0.0026465228706266768
C(profession)[T.teacher],-5.323005545253853e-05,-2.006957666138671e-06,-5.186335750604913e-06,7.720682685176717e-05,1.0787006728997974e-05,1.8964653257747247e-05,1.0208280257889329e-05,5.649927426591335e-05,5.554558473925858e-05,0.00011778673127943398,-5.738918200202319e-05,5.364148617348795e-05,-1.8646803829810264e-05,8.759086476972662e-05,-1.9569263544302394e-05
C(syntactic_role)[T.subject],-0.0003837477611676743,-0.0006880728040250749,8.10474492373355e-05,-0.001540178809558871,-0.00021882068860821428,-0.00029203620807400396,-9.633572355728432e-05,-0.000705046761226299,-0.0006051051419701301,-0.0012753488785944868,0.0013934283406443486,-0.0006626506774914584,0.0026465228706266768,-1.9569263544302394e-05,0.0013982618374140231
