,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
accountant,0.735996876557407,0.010900393635652891,-0.11199171164172042,0.09289941005723003,0.04533678980118767
carpenter,2.77510089397885,0.1290621757887803,-0.17320359413216996,0.29601062861605626,0.04954159739424126
cashier,-0.782613638544922,0.03625410101646081,-0.00791677328750093,-0.11005857248846006,-0.08200123062799976
ceo,0.8450980435238211,-0.018265083664184528,-0.09574332233093603,0.0920709326779881,0.12872991100779854
cleaner,-0.7198673357521531,-0.05048227662704753,0.3354371870212876,-0.15928696636139722,0.15137250977733066
cook,-0.061656549794931695,0.06542796942583447,0.34237508709272657,-0.03114811760739422,-0.012599363423952674
designer,0.3195472500097757,0.011507906965045948,-0.014018125015505319,0.046516736135445505,0.02227494364319453
driver,1.2406803447997614,0.00836490165969821,-0.25078686660304184,0.1123147116752838,0.06017947511120599
lawyer,1.1501810894257334,0.05154425824142934,0.028468951265297655,0.12329610732045823,0.06894159467666112
manager,0.583467555258299,0.014620840787140802,-0.20917084594126356,0.05992682758718549,-0.01574464875164471
receptionist,-1.4799426514932998,-0.02317916088488495,0.08583350964238057,-0.1619928088175161,-0.11712069821819639
salesperson,0.49915460201700806,0.0028758632742434762,-0.10420132947838096,0.06107921119069395,0.02428512971069937
secretary,-1.6086514916385017,0.024855101083814383,0.0061286230444408665,-0.05333841073006531,-0.32706205001605876
teacher,-0.7321970259144038,-0.03365664455423869,0.03159448199884752,-0.05525921652152962,-0.05890491062788281
