,Group,C(profession)[T.carpenter],C(profession)[T.cashier],C(profession)[T.ceo],C(profession)[T.cleaner],C(profession)[T.cook],C(profession)[T.designer],C(profession)[T.driver],C(profession)[T.lawyer],C(profession)[T.manager],C(profession)[T.receptionist],C(profession)[T.salesperson],C(profession)[T.secretary],C(profession)[T.teacher],C(syntactic_role)[T.subject]
Group,0.013017141882368799,-4.406954165564012e-05,-2.2250200887126607e-05,0.0002992837605331411,0.0004522503269398753,9.877960424404354e-05,0.00021518578717741197,0.00034044958342750996,0.00011111792192972486,0.0002646065939809872,0.000363991093577482,0.0002828049631924367,0.0002236901349794754,0.0004637704193520612,1.8419818801482113e-05
C(profession)[T.carpenter],-4.406954165564012e-05,0.010713275114516111,-0.0010820471824083443,7.750577651549168e-05,0.000629151499694985,-0.0006455755013501365,-0.0002257780614446747,0.00022596272808465004,-0.0006010796331048358,-4.755103213212535e-05,0.0003108608446970604,1.8078031642331905e-05,-0.00019510869878502555,0.0006706965893096018,-5.44451951579977e-05
C(profession)[T.cashier],-2.2250200887126607e-05,-0.0010820471824083443,0.01112672375284903,4.796904247079761e-05,0.0005059577987795408,-0.0005523493888063977,-0.00020382405936896004,0.00017122136140966065,-0.0005154079125971336,-5.5855948558523754e-05,0.00024170569801625823,-1.3692154383841776e-06,-0.00017836166082011,0.0005404494718293855,-4.5154793480189345e-05
C(profession)[T.ceo],0.0002992837605331411,7.750577651549168e-05,4.796904247079761e-05,0.0125513718597363,-0.00046054000037927106,-8.28248938769097e-05,-0.00020721531990015654,-0.00034107089861526945,-9.600949073555729e-05,-0.000260025875653404,-0.0003662271094212723,-0.0002794724620929763,-0.0002163029767666808,-0.0004728502502881714,1.7036222771392165e-05
C(profession)[T.cleaner],0.0004522503269398753,0.000629151499694985,0.0005059577987795408,-0.00046054000037927106,0.011300596382315833,0.00012489122175505477,-0.00019294078941950823,-0.0005349573669826387,9.120304276905306e-05,-0.0003278779038176549,-0.0005992344124880367,-0.00037756619475963363,-0.00021616081005166603,-0.0008716689428856164,4.252094668228403e-05
C(profession)[T.cook],9.877960424404354e-05,-0.0006455755013501365,-0.0005523493888063977,-8.28248938769097e-05,0.00012489122175505477,0.012352911681442579,-0.00020077339458438346,-3.2389107164700986e-05,-0.00034066531751066276,-0.00013434009472461966,-7.437273355343995e-07,-0.00010987716511129327,-0.0001893415316739295,0.00013338338017666334,-1.992676955076889e-05
C(profession)[T.designer],0.00021518578717741197,-0.0002257780614446747,-0.00020382405936896004,-0.00020721531990015654,-0.00019294078941950823,-0.00020077339458438346,0.01274205858538545,-0.00019434828254405885,-0.0001966684624415913,-0.00019511559647862996,-0.00019411010985453386,-0.00019493148107930583,-0.00019552955391070664,-0.0001931006287199486,5.202371351276414e-07
C(profession)[T.driver],0.00034044958342750996,0.00022596272808465004,0.00017122136140966065,-0.00034107089861526945,-0.0005349573669826387,-3.2389107164700986e-05,-0.00019434828254405885,0.01236883735212372,-4.538418864253469e-05,-0.00025487674884418525,-0.0003905239792699007,-0.00027971521350390915,-0.00019903097446123154,-0.0005267100973099636,2.1605587656807606e-05
C(profession)[T.lawyer],0.00011111792192972486,-0.0006010796331048358,-0.0005154079125971336,-9.600949073555729e-05,9.120304276905306e-05,-0.00034066531751066276,-0.0001966684624415913,-4.538418864253469e-05,0.012444552297846422,-0.00013206356690325408,-1.7473568323682474e-05,-0.00011108090753573832,-0.00017924010848923016,9.757166351629695e-05,-1.7013572035744573e-05
C(profession)[T.manager],0.0002646065939809872,-4.755103213212535e-05,-5.5855948558523754e-05,-0.000260025875653404,-0.0003278779038176549,-0.00013434009472461966,-0.00019511559647862996,-0.00025487674884418525,-0.00013206356690325408,0.012701682809498448,-0.00026122383764833756,-0.0002188351824740852,-0.00018797032838895847,-0.00031332031536991,8.67909120844191e-06
C(profession)[T.receptionist],0.000363991093577482,0.0003108608446970604,0.00024170569801625823,-0.0003662271094212723,-0.0005992344124880367,-7.437273355343995e-07,-0.00019411010985453386,-0.0003905239792699007,-1.7473568323682474e-05,-0.00026122383764833756,0.01223461031815117,-0.00027647959630825944,-0.00018625781259805704,-0.0005526713191113957,2.409470354142146e-05
C(profession)[T.salesperson],0.0002828049631924367,1.8078031642331905e-05,-1.3692154383841776e-06,-0.0002794724620929763,-0.00037756619475963363,-0.00010987716511129327,-0.00019493148107930583,-0.00027971521350390915,-0.00011108090753573832,-0.0002188351824740852,-0.00027647959630825944,0.0126660283239945,-0.00017853048183593434,-0.0003334058015686812,1.0577256064182735e-05
C(profession)[T.secretary],0.0002236901349794754,-0.00019510869878502555,-0.00017836166082011,-0.0002163029767666808,-0.00021616081005166603,-0.0001893415316739295,-0.00019552955391070664,-0.00019903097446123154,-0.00017924010848923016,-0.00018797032838895847,-0.00018625781259805704,-0.00017853048183593434,0.01276480926315173,-0.000178532913795007,9.97658673567546e-07
C(profession)[T.teacher],0.0004637704193520612,0.0006706965893096018,0.0005404494718293855,-0.0004728502502881714,-0.0008716689428856164,0.00013338338017666334,-0.0001931006287199486,-0.0005267100973099636,9.757166351629695e-05,-0.00031332031536991,-0.0005526713191113957,-0.0003334058015686812,-0.000178532913795007,0.01135952432063238,3.525917288209743e-05
C(syntactic_role)[T.subject],1.8419818801482113e-05,-5.44451951579977e-05,-4.5154793480189345e-05,1.7036222771392165e-05,4.252094668228403e-05,-1.992676955076889e-05,5.202371351276414e-07,2.1605587656807606e-05,-1.7013572035744573e-05,8.67909120844191e-06,2.409470354142146e-05,1.0577256064182735e-05,9.97658673567546e-07,3.525917288209743e-05,0.013494262654267385
