term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.7988090878435563,0.0814083662760366,22.096120707596786,3.4441725015958414e-108,1.6392516219022795,1.9583665537848332
C(tense)[T.past perfect],-0.003940691266741999,0.055318077284607775,-0.0712369529126511,0.9432091719381034,-0.11236213043857651,0.10448074790509251
C(tense)[T.present continuous],-0.39642116001674116,0.05531807728460803,-7.166213640744945,7.710042410125895e-13,-0.5048425991885762,-0.28799972084490616
C(tense)[T.present perfect],-0.35587550571986154,0.055318077284608,-6.43325876799558,1.248967496708101e-10,-0.4642969448916965,-0.2474540665480266
C(tense)[T.simple future],-0.017150006975438118,0.055318077284608226,-0.3100253627255038,0.7565416692784557,-0.1255714461472735,0.09127143219639727
C(tense)[T.simple past],-0.22119707380022072,0.05531807728460776,-3.9986399502314,6.37075070888075e-05,-0.3296185129720552,-0.11277563462838623
C(syntactic_role)[T.subject],-0.48737298874646173,0.07945335886474639,-6.134076591728712,8.565524683698781e-10,-0.6430987105721009,-0.3316472669208226
C(valence)[T.-val],0.18268083844866453,0.035496998813703336,5.146374188066345,2.6556943164070855e-07,0.11310799921454497,0.2522536776827841
C(dominance)[T.-dom],0.2068984258742572,0.021909223322219316,9.443439542853644,3.6073913747196945e-21,0.16395713723346234,0.24983971451505205
C(profession)[T.carpenter],1.840738932291565,0.07321240704225918,25.14244520370797,1.7093753085517002e-139,1.6972452512672505,1.9842326133158796
C(profession)[T.cashier],-1.7476277669270786,0.08875603770550572,-19.690240935785596,2.6144313275424558e-86,-1.9215864042403488,-1.5736691296138083
C(profession)[T.ceo],-0.22625325520841033,0.08428027014731596,-2.6845340530225594,0.007263098393161359,-0.3914395493044559,-0.06106696111236479
C(profession)[T.cleaner],-1.368878173828138,0.08425174940721199,-16.247474781941577,2.3275595224963213e-59,-1.5340085683007674,-1.2037477793555085
C(profession)[T.cook],-0.8459350585937679,0.09043731427789897,-9.353827735245972,8.453186656642213e-21,-1.02318893743698,-0.668681179750556
C(profession)[T.designer],-0.8594645182291965,0.09018049693446673,-9.530492151243752,1.5653933283107287e-21,-1.036215044328676,-0.682713992129717
C(profession)[T.driver],0.34768880208325553,0.09045129071024222,3.8439341147387864,0.0001210775245239643,0.17040752993601843,0.5249700742304926
C(profession)[T.lawyer],0.339095052083337,0.08984253205447029,3.774326528083028,0.00016044050391403965,0.1630069249766899,0.5151831791899841
C(profession)[T.manager],-0.4120686848958601,0.09034104002017321,-4.561256819755949,5.084834231733017e-06,-0.5891338696612913,-0.23500350013042895
C(profession)[T.receptionist],-2.788462320963604,0.09011526529961847,-30.943284821860363,3.128152885649011e-210,-2.9650849954081284,-2.61183964651908
C(profession)[T.salesperson],-0.7505859375000101,0.08996676859128372,-8.342924273627066,7.247558020360122e-17,-0.9269175637443756,-0.5742543112556446
C(profession)[T.secretary],-2.572245279947915,0.088834438835268,-28.95549646818631,2.3929541988660324e-184,-2.7463575806518667,-2.3981329792439636
C(profession)[T.teacher],-1.6864034016926779,0.08785171681736381,-19.19602100888439,3.995530411677491e-82,-1.8585896026347228,-1.514217200750633
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.03381609235490979,0.02683320890006116,1.260232888315967,0.20758536189555765,-0.01877603067884972,0.0864082153886693
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.13520420619419776,0.02683320890006116,5.038689435086148,4.687303450939944e-07,0.08261208316043825,0.18779632922795728
