term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.1002476651509545,0.0891175996385846,12.34601997375374,5.118145687339958e-35,0.925580379470669,1.27491495083124
C(tense)[T.past perfect],0.0019797353280825675,0.04583251056580893,0.0431950007460305,0.9655460901978213,-0.08785033470195443,0.09180980535811957
C(tense)[T.present continuous],0.19844678795458243,0.04583251056580921,4.3298258267925345,1.4922732315481937e-05,0.10861671792454487,0.28827685798462
C(tense)[T.present perfect],-0.044751017483731274,0.045832510565808456,-0.9764033637100389,0.32886461526074173,-0.13458108751376735,0.045079052546304794
C(tense)[T.simple future],0.23434805157480196,0.04583251056580881,5.113140185465343,3.1684697917383894e-07,0.1445179815447652,0.3241781216048387
C(tense)[T.simple past],0.05557571089017034,0.045832510565809094,1.212582732302464,0.2252893941002735,-0.03425435913986698,0.14540578092020767
C(syntactic_role)[T.subject],0.021022462866781635,0.09214599563578002,0.22814298897887944,0.8195350808226313,-0.1595803698989322,0.20162529563249548
C(valence)[T.-val],0.20818441638539537,0.029410215485494582,7.078643013957992,1.4557284550055052e-12,0.1505414532562638,0.26582737951452695
C(dominance)[T.-dom],0.11698890085135678,0.016979995827475152,6.8898073968933655,5.586797650504202e-12,0.0837087205718651,0.15026908113084847
C(profession)[T.carpenter],1.5122145081560134,0.09885196970959426,15.297768093024075,7.912382420330821e-53,1.3184682077243643,1.7059608085876625
C(profession)[T.cashier],-0.6185318310890543,0.09750455908396038,-6.343619589689561,2.244286045550945e-10,-0.8096372552220744,-0.4274264069560342
C(profession)[T.ceo],-1.1588729702659053,0.09204052478345459,-12.59089920437119,2.3695852190192428e-36,-1.3392690839596426,-0.978476856572168
C(profession)[T.cleaner],-0.4820128649938945,0.09406224032372171,-5.124403409221531,2.9848131322458153e-07,-0.6663714683335402,-0.2976542616542488
C(profession)[T.cook],-0.7842197230299592,0.0934637939703469,-8.390625821147035,4.8356109904619163e-17,-0.967405393070311,-0.6010340529896074
C(profession)[T.designer],-0.5313978528292914,0.09882708945857664,-5.377046473194242,7.571763468063904e-08,-0.7250953888650197,-0.33770031679356316
C(profession)[T.driver],0.966125092903678,0.08976018154634038,10.763403953287435,5.124172121039012e-27,0.790198369827074,1.142051815980282
C(profession)[T.lawyer],-0.0388861415286524,0.09914959257514885,-0.3921966850159194,0.6949128933039475,-0.23321577205776411,0.1554434890004593
C(profession)[T.manager],0.19132326493665525,0.09895679591571577,1.9334019777642208,0.053186697814149975,-0.0026284910836279762,0.38527502095693844
C(profession)[T.receptionist],-1.8883779042088438,0.09906855839587805,-19.061324145475943,5.29184586462001e-81,-2.0825487106650677,-1.6942070977526196
C(profession)[T.salesperson],-0.7485941616042263,0.09839852082236186,-7.607778606303015,2.788469607067741e-14,-0.9414517185480702,-0.5557366046603824
C(profession)[T.secretary],-1.2831485260911466,0.0800701161469979,-16.025311162724673,8.506401244278832e-58,-1.4400830699772016,-1.1262139822050916
C(profession)[T.teacher],-1.0757474864939593,0.09927860338358288,-10.835642825650883,2.3332089646492442e-27,-1.2703299735612181,-0.8811649994267006
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.11337657044662454,0.02223203319412549,5.099694187060801,3.4020268694648117e-07,0.0698025860830396,0.15695055481020947
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.004318283476458453,0.02223203319412549,0.19423700202100722,0.8459903111334017,-0.03925570088712649,0.0478922678400434
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.09154945550503078,0.022232033194125506,4.117907467375562,3.823281407383928e-05,0.04797547114144581,0.13512343986861575
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.04047900809112367,0.02223203319412551,-1.8207515137130892,0.06864463770483736,-0.08405299245470865,0.0030949762724613097
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.056806311394133994,0.022232033194125513,-2.5551559274004783,0.010614023890549051,-0.10038029575771898,-0.01323232703054901
C(tense)[T.past perfect]:C(valence)[T.-val],-0.06259175977424374,0.022232033194125478,-2.8153862144638566,0.0048718645857977775,-0.10616574413782864,-0.01901777541065882
C(tense)[T.present continuous]:C(valence)[T.-val],-0.03460154619388091,0.0222320331941255,-1.556382445624626,0.11961717695151397,-0.07817553055746587,0.008972438169704049
C(tense)[T.present perfect]:C(valence)[T.-val],-0.06689251936747638,0.022232033194125467,-3.008834989736876,0.002622515093864447,-0.11046650373106127,-0.023318535003891486
C(tense)[T.simple future]:C(valence)[T.-val],0.040177100198135376,0.022232033194125478,1.8071716539516343,0.07073551916442199,-0.003396884165449539,0.08375108456172028
C(tense)[T.simple past]:C(valence)[T.-val],-0.032770934175537995,0.0222320331941255,-1.4740412579177533,0.14047048296955886,-0.07634491853912295,0.010803050188046961
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.014718319021838344,0.022232033194125485,0.6620320729697121,0.5079506669898948,-0.028855665341746585,0.05829230338542327
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.01986252887519644,0.022232033194125502,-0.8934193603329466,0.37163263860579654,-0.06343651323878141,0.023711455488388523
