,Group,C(profession)[T.carpenter],C(profession)[T.cashier],C(profession)[T.ceo],C(profession)[T.cleaner],C(profession)[T.cook],C(profession)[T.designer],C(profession)[T.driver],C(profession)[T.lawyer],C(profession)[T.manager],C(profession)[T.receptionist],C(profession)[T.salesperson],C(profession)[T.secretary],C(profession)[T.teacher],C(syntactic_role)[T.subject]
Group,0.013131675791467286,-6.834738196945723e-05,-0.0004034464714105249,-0.001049005029820667,-0.0008988233357284561,-0.000998472065335661,-0.00014588347384707003,-0.001415114641781202,0.00025292553854827535,-0.00013135315241921125,0.0003294831981068261,-0.00034646319118848066,-0.003374113393308246,-9.252292704956696e-05,0.0008356482129898141
C(profession)[T.carpenter],-6.834738196945723e-05,0.014852003159333908,-0.0003235601146446303,-0.00047755946337884486,-0.00044173330511573057,-0.0004655047186654852,-0.00026211792110873467,-0.0005648956795505004,-0.00016698119434714303,-0.0002586516824409408,-0.00014871820401069822,-0.00030996663357330434,-0.0010322189424568447,-0.00024938865069865383,0.00019303485236255277
C(profession)[T.cashier],-0.0004034464714105249,-0.0003235601146446303,0.014324105030750569,-0.00083518110944999,-0.0007550830237917637,-0.0008082297972961942,-0.00035350917074068305,-0.001030442450971088,-0.00014080789159475406,-0.00034575955160149707,-9.99765372086569e-05,-0.0004604865988385198,-0.002075257205250341,-0.00032504979242248375,0.0004309327929567749
C(profession)[T.ceo],-0.001049005029820667,-0.00047755946337884486,-0.00083518110944999,0.01225813240400762,-0.0012220529366340895,-0.0013203242060216979,-0.00047952108210746986,-0.0017312074659228203,-8.622487005441512e-05,-0.00046519161561492785,-1.0725479182934224e-05,-0.0006773281541424286,-0.003663126666432485,-0.0004268981466226668,0.0007961039570155224
C(profession)[T.cleaner],-0.0008988233357284561,-0.00044173330511573057,-0.0007550830237917637,-0.0012220529366340895,0.013009064566713467,-0.0010475784138435896,-0.0003942401151839377,-0.0013668514545069487,-8.863292755150915e-05,-0.00038310553564618264,-2.996682346740167e-05,-0.0005479442728285932,-0.0028680314188870466,-0.00035334994938617003,0.0006184495619818237
C(profession)[T.cook],-0.000998472065335661,-0.0004655047186654852,-0.0008082297972961942,-0.0013203242060216979,-0.0010475784138435896,0.012785727919594609,-0.00035597628943134107,-0.0012643136698758009,-7.056481926260052e-05,-0.0003455775264302613,-1.577560064021861e-05,-0.0004995230755664682,-0.002666289794655809,-0.0003177883056139435,0.0005772524017768437
C(profession)[T.designer],-0.00014588347384707003,-0.00026211792110873467,-0.00035350917074068305,-0.00047952108210746986,-0.0003942401151839377,-0.00035597628943134107,0.01484232200794733,-0.0004117107356467498,-0.00014497283494895182,-0.00020642320797969123,-0.0001327304263814104,-0.00024082166003031093,-0.0007249760997644468,-0.0002002138295004558,0.00012921712652232717
C(profession)[T.driver],-0.001415114641781202,-0.0005648956795505004,-0.001030442450971088,-0.0017312074659228203,-0.0013668514545069487,-0.0012643136698758009,-0.0004117107356467498,0.011434299347243082,-1.430426878810925e-05,-0.00027433550622412366,3.750027676637501e-05,-0.0004198947862003927,-0.0024686256866823706,-0.00024806011862246106,0.0005448263433993934
C(profession)[T.lawyer],0.00025292553854827535,-0.00016698119434714303,-0.00014080789159475406,-8.622487005441512e-05,-8.863292755150915e-05,-7.056481926260052e-05,-0.00014497283494895182,-1.430426878810925e-05,0.014969583481378442,-0.00014158011834225807,-0.0001875436142364459,-0.00012012519324189097,0.00018185052432940623,-0.0001454530179129985,-8.010754815282734e-05
C(profession)[T.manager],-0.00013135315241921125,-0.0002586516824409408,-0.00034575955160149707,-0.00046519161561492785,-0.00038310553564618264,-0.0003455775264302613,-0.00020642320797969123,-0.00027433550622412366,-0.00014158011834225807,0.014893566484596108,-0.00013294227983337928,-0.00018258415236253246,-0.00040493643913390535,-0.0001639346404751775,5.925748571607287e-05
C(profession)[T.receptionist],0.0003294831981068261,-0.00014871820401069822,-9.99765372086569e-05,-1.0725479182934224e-05,-2.996682346740167e-05,-1.577560064021861e-05,-0.0001327304263814104,3.750027676637501e-05,-0.0001875436142364459,-0.00013294227983337928,0.014937544281894524,-0.00010174975583896716,0.0003101163271200292,-0.00013629449347897342,-0.00010932729557268226
C(profession)[T.salesperson],-0.00034646319118848066,-0.00030996663357330434,-0.0004604865988385198,-0.0006773281541424286,-0.0005479442728285932,-0.0004995230755664682,-0.00024082166003031093,-0.0004198947862003927,-0.00012012519324189097,-0.00018258415236253246,-0.00010174975583896716,0.01467404365237415,-0.0006808681670060787,-0.00016490836219126902,0.0001266216649336893
C(profession)[T.secretary],-0.003374113393308246,-0.0010322189424568447,-0.002075257205250341,-0.003663126666432485,-0.0028680314188870466,-0.002666289794655809,-0.0007249760997644468,-0.0024686256866823706,0.00018185052432940623,-0.00040493643913390535,0.0003101163271200292,-0.0006808681670060787,0.00820107200774011,0.000677865946226889,-0.0012937318736024022
C(profession)[T.teacher],-9.252292704956696e-05,-0.00024938865069865383,-0.00032504979242248375,-0.0004268981466226668,-0.00035334994938617003,-0.0003177883056139435,-0.0002002138295004558,-0.00024806011862246106,-0.0001454530179129985,-0.0001639346404751775,-0.00013629449347897342,-0.00016490836219126902,0.000677865946226889,0.01502104483210413,-0.00018741459964918388
C(syntactic_role)[T.subject],0.0008356482129898141,0.00019303485236255277,0.0004309327929567749,0.0007961039570155224,0.0006184495619818237,0.0005772524017768437,0.00012921712652232717,0.0005448263433993934,-8.010754815282734e-05,5.925748571607287e-05,-0.00010932729557268226,0.0001266216649336893,-0.0012937318736024022,-0.00018741459964918388,0.015256719695199225
