term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,2.0078229631697453,0.06282032394385985,31.961359590632817,3.756590769387136e-224,1.8846973907426408,2.1309485355968496
C(tense)[T.past perfect],0.05087323869977497,0.05864768878682301,0.8674380824228693,0.3857020235277968,-0.06407411909891172,0.16582059649846165
C(tense)[T.present continuous],0.14327130998883827,0.05864768878682232,2.4429148522734323,0.014569174202149237,0.02832395219015295,0.2582186677875236
C(tense)[T.present perfect],0.09964141845702888,0.05864768878682267,1.6989828673251475,0.08932241176753639,-0.015305939341657138,0.2145887762557149
C(tense)[T.simple future],0.4843601771763323,0.05864768878682232,8.258810998280367,1.4713068318887341e-16,0.369412819377647,0.5993075349750177
C(tense)[T.simple past],-0.06166796003069516,0.05864768878682229,-1.0514985552943308,0.2930296725780871,-0.17661531782938045,0.05327939776799011
C(syntactic_role)[T.subject],-0.15961957659039883,0.05901221834659268,-2.7048564019897605,0.00683339220179832,-0.2752813991975343,-0.04395775398326335
C(valence)[T.-val],0.12700878324962464,0.03763357371554055,3.3748796808307673,0.0007384796987011812,0.053248334157631944,0.20076923234161734
C(dominance)[T.-dom],0.021145629882808336,0.037633573715540575,0.5618820588935025,0.5741963781975136,-0.05261481920918441,0.09490607897480109
C(profession)[T.carpenter],1.973339843750036,0.08914452646513069,22.136410635620095,1.4103058014558405e-108,1.7986197824595023,2.14805990504057
C(profession)[T.cashier],-1.5047465006510479,0.0648646019853445,-23.198269234597788,4.740106808098123e-119,-1.6318787844138485,-1.3776142168882473
C(profession)[T.ceo],-0.20026041666668823,0.06380519116380473,-3.138622626371685,0.0016974389549561835,-0.3253162933744388,-0.07520453995893767
C(profession)[T.cleaner],-1.2961079915364886,0.06494346716321496,-19.95748068514927,1.2905649136081456e-88,-1.4233948482075496,-1.1688211348654276
C(profession)[T.cook],-0.7401611328124978,0.06623516783864668,-11.17474533491906,5.420562842629783e-29,-0.8699796762862111,-0.6103425893387846
C(profession)[T.designer],-0.518587239583363,0.0653217693544856,-7.938964983773086,2.038753151821755e-15,-0.6466155549245869,-0.390558924242139
C(profession)[T.driver],0.21969401041664774,0.06434412625702104,3.4143599920696004,0.0006393204223078633,0.09358184033618847,0.345806180497107
C(profession)[T.lawyer],0.4604492187499731,0.06951846236991321,6.623409135545699,3.5100772644732196e-11,0.32419553624434017,0.596702901255606
C(profession)[T.manager],-0.1938476562500007,0.06648563536716724,-2.9156321539152943,0.00354968739326599,-0.32415710705891093,-0.06353820544109046
C(profession)[T.receptionist],-2.7872324625651173,0.0643328679471407,-43.32517034457807,0.0,-2.9133225667636844,-2.66114235836655
C(profession)[T.salesperson],-0.6312988281250143,0.06471324664172598,-9.755326164055624,1.7503710640438576e-22,-0.7581344608654548,-0.5044631953845737
C(profession)[T.secretary],-2.342114257812516,0.065867811788471,-35.55779665694712,6.295776758046971e-277,-2.471212796658382,-2.2130157189666497
C(profession)[T.teacher],-1.440895589192718,0.06449769415741562,-22.340265152363607,1.5014945175615974e-110,-1.567308746827132,-1.314482431558304
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.06372419084821467,0.0284483077136964,2.2399993521419463,0.025090964931212687,0.007966532308256717,0.1194818493881726
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.09860055106026783,0.02844830771369641,3.4659548839454057,0.0005283519302157455,0.04284289252030986,0.15435820960022578
