,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
accountant,0.4920380146628658,0.018163101829344348,0.15735753912558548,0.05446313457966808,0.012906651167674506
carpenter,2.272941647402137,0.1816890361217192,0.06243497675758928,0.23781221540690103,0.02676603759380653
cashier,-0.8234293560664071,0.01474112166055014,-0.01322916695199512,-0.1291650772174234,-0.000507031988274939
ceo,0.3644212297823497,-0.00638838149505648,-0.03074051040921078,0.02569069373002667,0.045359484870506894
cleaner,-0.7163355070333529,-0.04111316665944027,-0.05413607138533154,-0.12265168389050946,0.0022236759819096443
cook,-0.14361726930106444,0.026343602397515004,-0.0059347389813521265,0.004629397751483576,0.02178865008920529
designer,0.20945315919546098,-0.039922720773044124,-0.008246233105422345,0.009362153684709327,0.030404072536261553
driver,0.9420548432701877,-0.01723243618457504,-0.12410559884306405,0.08659875707263173,0.0484470698444069
lawyer,0.8944032559893849,-0.07519046292593319,0.09808824619243726,0.09201338290587315,0.041901697817520796
manager,0.4568403385324932,0.03833962013076998,-0.02039917802363941,0.022949488706970857,0.03246650773779335
receptionist,-2.08840712454478,-0.032227304042905976,0.08623496716414468,-0.18477942227970096,-0.05690428931767022
salesperson,0.17405009315029332,-0.03242211625301594,-0.07445014345041516,-0.01202879948482783,0.044911088998116494
secretary,-1.7840808387877747,-0.06217871828921201,0.019436588532334275,-0.07203352388976206,-0.22909174667263532
teacher,-0.6712411541601048,-0.021106131186761835,-0.10116451036989173,-0.052493175420922696,-0.03310980385725612
