,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
accountant,0.4920506837640314,0.018134271148203283,0.15743433671667392,0.05446751089221642,0.012936390042273675
carpenter,2.2729494476048013,0.18180880669902927,0.06242099750254541,0.23782751140257666,0.026736662557669124
cashier,-0.8233123440785575,0.014803325689824733,-0.013234159518091515,-0.1293131342843904,-0.0005376417490489978
ceo,0.36443615537923296,-0.006397585800948434,-0.030741485895158044,0.025734238485728513,0.04540190183182208
cleaner,-0.7161479910036355,-0.041128441311362576,-0.05415394325092607,-0.12281345013583085,0.0021586276625843257
cook,-0.14372453940670435,0.026405090378198996,-0.005924427214623442,0.004765223869974103,0.02189489622179673
designer,0.20951974612725624,-0.03998068215566682,-0.008234887089972403,0.009370791323837278,0.030417006840062964
driver,0.9421289394011231,-0.017271611673704175,-0.1241573033683042,0.08665430131092589,0.04844131505114509
lawyer,0.8944775926236466,-0.07535334908738484,0.09815561234287762,0.09205092384851887,0.04191976190362621
manager,0.4568987727875375,0.038377785372132475,-0.020411045771651044,0.022917123646566312,0.032464485021581176
receptionist,-2.0884842774290893,-0.032178540471150735,0.08629688324979358,-0.18472597921971803,-0.05681265573456491
salesperson,0.17413829978828188,-0.032452790034478686,-0.07447019440188839,-0.01204843374401919,0.04491415997412655
secretary,-1.783933568176298,-0.06222565810390975,0.01941427590649694,-0.07199729532804107,-0.22924484977989196
teacher,-0.6711935213747378,-0.021083691265828135,-0.10120947026328554,-0.05245113439653561,-0.03311903707487087
