,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
accountant,1.082287396952323,0.1347675893041019,-0.24938998691734943,0.07482304399404907,0.08279136689853751
carpenter,2.5472855300727746,0.32910569594704053,-0.24060878448512163,0.14986642143034276,0.16430488655614028
cashier,0.19213529029260115,0.06631064753709741,-0.1308023300893566,0.01475719442986862,0.07544807052379665
ceo,1.496245962031544,0.3343193740580832,-0.3494591508834857,0.036930079893685165,0.2539107826035606
cleaner,0.016453354606327023,0.12118748192992687,-0.03360748037480459,0.057601787335814364,0.1916586238684085
cook,0.5370245897883732,0.11856964843423712,0.44178761678712597,0.07438813290504867,0.08777876618060508
designer,0.646432118406132,0.0828112977226767,0.12439963389960979,0.08785994302525289,0.05971085858071676
driver,1.7771437976812117,0.21008646465038194,-0.4121443591986264,0.13164194192093223,0.12626472504992947
lawyer,1.1965813382327932,0.16553612788782454,-0.2118287909633711,0.055018891429834516,0.08713538270396436
manager,1.2026567381145579,0.19858141831510184,-0.22971322325790589,0.0413002483009462,0.11862083115390408
receptionist,-0.7272429991331851,-0.08059551746724875,-0.24066689347702158,-0.09239517222459248,-0.03999461907084475
salesperson,1.4944047515481813,0.14212181837439697,-0.5716540504715025,0.0893968823803347,0.06428692198635748
secretary,-0.929880491402027,-0.15494045930514283,0.34133374840646197,-0.07603689875843629,-0.1368992995179694
teacher,0.04581244967832809,0.05232869693105624,0.005770636929134143,-0.020042246555327117,0.04413982825282043
