,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
accountant,0.7358756521976867,0.010895179458994174,-0.11201474897729281,0.09289471769671759,0.04528934906785486
carpenter,2.7749311264062615,0.1290805886799682,-0.1732356058798654,0.2960236948249162,0.04955577117787994
cashier,-0.7827523219776668,0.03628898082435019,-0.007952412833849828,-0.1100614213592887,-0.08204437694909016
ceo,0.845011050548987,-0.018299052283262073,-0.09575858374748693,0.09205071819921806,0.12865263923505948
cleaner,-0.7199265300359873,-0.050556525282881924,0.3354172892273652,-0.15934240191838217,0.15132173416759692
cook,-0.06178335193204361,0.06541533622050053,0.3423279162783768,-0.031166858983928954,-0.012590934456411327
designer,0.3194272765110688,0.01150187248969046,-0.014046274549841215,0.046509157945663224,0.022233757423203
driver,1.2405279133261191,0.008366110123464061,-0.2507984087078231,0.11231697962755324,0.06016858403910621
lawyer,1.150065788561641,0.05152940455400478,0.02843767680891416,0.12328443423322341,0.06890716264409462
manager,0.583305451281984,0.014641281320792031,-0.20919092290262503,0.05993590321157729,-0.015754593722867357
receptionist,-1.4801010349828878,-0.023159505117100167,0.08580095411101256,-0.16199252283214485,-0.11711599308832597
salesperson,0.49902176667032716,0.0028741729365283413,-0.10422354783100118,0.06107668984519986,0.024253936976909626
secretary,-1.608874195872487,0.024938342820438525,0.0060730442393745815,-0.053292168483046326,-0.32701994931722694
teacher,-0.7323454656213267,-0.03365510079692847,0.0315669888949011,-0.05525886842703788,-0.05890649162780063
