term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.3965858872713552,0.25958826084378006,5.38000402149086,7.448417482300384e-08,0.8878022452081572,1.9053695293345534
C(tense)[T.past perfect],0.05810634068080364,0.030208059631439795,1.9235376713944252,0.054412560174125255,-0.001100368239656653,0.11731304960126393
C(tense)[T.present continuous],0.19862147739955344,0.03020805963143968,6.57511537724965,4.8615455585782875e-11,0.13941476847909337,0.25782818632001353
C(tense)[T.present perfect],0.12495029994419639,0.030208059631439754,4.136323268315831,3.529149281794386e-05,0.06574359102373617,0.1841570088646566
C(tense)[T.simple future],0.5248548235212057,0.03020805963143974,17.37466192548663,1.2836054035974486e-67,0.4656481146007455,0.5840615324416659
C(tense)[T.simple past],-0.02784816196986601,0.03020805963143982,-0.9218785420061312,0.35659193302563763,-0.08705487089032635,0.03135854695059433
C(syntactic_role)[T.subject],-0.15899115754577678,0.03293534388017359,-4.827372020897168,1.3834653729091348e-06,-0.2235432453693587,-0.09443906972219486
C(valence)[T.-val],0.07976810148511071,0.035310608941375984,2.2590406644514327,0.02388085549041223,0.010560579687835775,0.14897562328238564
C(dominance)[T.-dom],0.008542141613155935,0.031503797953905656,0.27114640671750917,0.7862784305616175,-0.053204167752725795,0.07028845097903767
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.06372419084821297,0.03020805963143963,2.1095095688268164,0.03490062094656603,0.004517481927753003,0.12293089976867294
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.09860055106026662,0.030208059631439597,3.2640478158235053,0.0010983262769019768,0.039393842139806706,0.15780725998072653
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.1475755964006684,0.03020805963143962,4.885305385423572,1.0326866544608958e-06,0.08836888748020844,0.20678230532112835
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.22799595424107005,0.030208059631439618,7.547520662458534,4.436221796194973e-14,0.1687892453206101,0.28720266316153
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.0792964390345968,0.030208059631439643,2.6250093518773197,0.008664658738975692,0.020089730114136797,0.1385031479550568
C(tense)[T.past perfect]:C(valence)[T.-val],-0.07115565708705454,0.030208059631439594,-2.3555189560403935,0.0184968532751374,-0.13036236600751444,-0.011948948166594635
C(tense)[T.present continuous]:C(valence)[T.-val],-0.06482369559151861,0.030208059631439563,-2.1459072970066644,0.031880375520890236,-0.12403040451197846,-0.0056169866710587685
C(tense)[T.present perfect]:C(valence)[T.-val],-0.0603886195591526,0.03020805963143959,-1.9990896567319416,0.04559865405021211,-0.11959532847961249,-0.0011819106386926972
C(tense)[T.simple future]:C(valence)[T.-val],0.04965645926339207,0.03020805963143957,1.6438149245346179,0.10021443757187473,-0.009550249657067786,0.10886316818385193
C(tense)[T.simple past]:C(valence)[T.-val],-0.05859592982700973,0.030208059631439584,-1.9397449072175743,0.05241069906489506,-0.11780263874746962,0.0006107790934501561
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.0798618861607141,0.030208059631439618,-2.6437277711672786,0.0081998575286863,-0.13906859508117406,-0.020655177240254154
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.11133510044642832,0.03020805963143959,-3.6856091322911144,0.00022815628769212287,-0.17054180936688823,-0.05212839152596842
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.09779793875558018,0.03020805963143961,-3.2374783401776366,0.0012059109342502643,-0.1570046476760401,-0.03859122983512025
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.21883370535714286,0.030208059631439608,-7.244215882353051,4.3494815172982083e-13,-0.2780404142776028,-0.15962699643668293
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.05517708914620526,0.030208059631439618,-1.8265684661446657,0.06776467826677704,-0.11438379806666521,0.004029619774254686
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.08453311011904889,0.0174406313599079,-4.846906535354652,1.25401469118172e-06,-0.11871611945210819,-0.05035010078598958
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.03405616396949215,0.017440631359907893,1.9526910045114332,0.05085622024603244,-0.00012684536356714904,0.06823917330255144
C(valence)[T.-val]:C(dominance)[T.-dom],-0.02390020461309545,0.0174406313599079,-1.3703749663579645,0.17056988243586935,-0.05808321394615476,0.010282804719963859
