,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
accountant,0.4920540300469211,0.018124337463920403,0.15744257144037282,0.05446572684138664,0.012937227163536427
carpenter,2.2729509462351705,0.18181566317812115,0.06241558713538153,0.23782878554636913,0.026734844093983186
cashier,-0.8233059141268513,0.014809952659194395,-0.013234979201567104,-0.12932723603739013,-0.0005379825433596921
ceo,0.3644333632086651,-0.0063960788183826806,-0.030740285230635954,0.02573789279446829,0.04540474654799427
cleaner,-0.7161377148022945,-0.041126920106659956,-0.05415271672832853,-0.12282782977522833,0.002154100856524829
cook,-0.14373586825346465,0.026411716986472385,-0.005925666305924514,0.00477659255224685,0.02190388690339919
designer,0.20952159187823172,-0.03998490661473816,-0.008230653199490184,0.00937136306953195,0.03041660745999288
driver,0.9421278996276392,-0.017268817808132934,-0.12415927696795265,0.0866609870998677,0.04843951110105195
lawyer,0.894482962507546,-0.07537213450194465,0.09816823737897436,0.09205324224023465,0.04191696727971
manager,0.45690030321104175,0.03838258804910281,-0.020412261715038644,0.022913987607971344,0.032464877603453964
receptionist,-2.0884903272418804,-0.03217793958744278,0.08630072913500693,-0.184723282476041,-0.05680432634578062
salesperson,0.17413977315758136,-0.03245113648033873,-0.07446928586589752,-0.012049863567899582,0.04491394571568697
secretary,-1.783922543027217,-0.06223513751896956,0.019413575681064634,-0.07199068266111516,-0.229259487783232
teacher,-0.6711954052384186,-0.02107726067544385,-0.10121344218068389,-0.05244583840113641,-0.03311954581952174
