term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.3623004731520756,0.31704060221419117,4.296927471238248,1.7318182770694605e-05,0.7409123111753712,1.9836886351287801
C(tense)[T.past perfect],0.05810634068080427,0.03104198601560122,1.8718628586328507,0.06122557917505418,-0.002734833918370129,0.11894751527997868
C(tense)[T.present continuous],0.19862147739955444,0.031041986015601226,6.398478412422786,1.5693292510740257e-10,0.13778030280038,0.25946265199872887
C(tense)[T.present perfect],0.12495029994419735,0.031041986015601222,4.025203151673326,5.692614981850188e-05,0.06410912534502294,0.18579147454337175
C(tense)[T.simple future],0.5248548235212072,0.031041986015601226,16.907900907416916,3.9347568879843144e-64,0.46401364892203273,0.5856959981203815
C(tense)[T.simple past],-0.027848161969865417,0.031041986015601222,-0.8971127670719702,0.36965874678049626,-0.08868933656903982,0.032993012629308996
C(syntactic_role)[T.subject],-0.14259149460565498,0.02370870843970886,-6.014308833746238,1.8065581216470838e-09,-0.18905970926744517,-0.0961232799438648
C(valence)[T.-val],0.06499255952380963,0.02370870843970888,2.7412948153243084,0.006119756988145021,0.018524344862019405,0.11146077418559985
C(dominance)[T.-dom],0.012731933593751507,0.02194999881312963,0.5800425641087398,0.5618859146238516,-0.0302892735406795,0.055753140728182514
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.06372419084821467,0.03104198601560122,2.0528387203121565,0.040088221855947535,0.0028830162490402628,0.12456536544738907
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.09860055106026815,0.031041986015601222,3.176360913593384,0.0014913528393672945,0.03775937646109374,0.15944172565944256
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.1475755964006699,0.03104198601560123,4.754064264010061,1.993676201358832e-06,0.08673442180149546,0.20841677099984432
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.22799595424107136,0.031041986015601226,7.344760548712447,2.0612778556565208e-13,0.16715477964189696,0.28883712884024576
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.07929643903459854,0.031041986015601222,2.554489876863722,0.010634352195909415,0.018455264435424133,0.14013761363377294
C(tense)[T.past perfect]:C(valence)[T.-val],-0.0711556570870536,0.031041986015601236,-2.2922391966574507,0.0218918442821473,-0.13199683168622803,-0.01031448248787916
C(tense)[T.present continuous]:C(valence)[T.-val],-0.06482369559151786,0.031041986015601233,-2.0882586429534005,0.036774509930243,-0.12566487019069228,-0.003982520992343433
C(tense)[T.present perfect]:C(valence)[T.-val],-0.060388619559151833,0.031041986015601233,-1.9453851802137088,0.05172863704216068,-0.12122979415832627,0.00045255504002259667
C(tense)[T.simple future]:C(valence)[T.-val],0.04965645926339216,0.031041986015601233,1.5996547140519803,0.10967520337139966,-0.011184715335782268,0.11049763386256659
C(tense)[T.simple past]:C(valence)[T.-val],-0.058595929827008925,0.031041986015601236,-1.8876346957169392,0.059075008883174254,-0.11943710442618335,0.0022452447721655125
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.07986188616071556,0.03104198601560123,-2.5727054358112973,0.010090704943773947,-0.14070306075988998,-0.019020711561541136
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.11133510044642993,0.031041986015601233,-3.5865972103226444,0.00033502120661393686,-0.17217627504560434,-0.0504939258472555
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.09779793875558172,0.031041986015601233,-3.1505052127280115,0.001629883481352355,-0.15863911335475617,-0.03695676415640729
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.21883370535714483,0.031041986015601233,-7.049603889621054,1.7942782863094536e-12,-0.27967487995631923,-0.1579925307579704
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.05517708914620656,0.031041986015601236,-1.7774986793201757,0.07548622793533673,-0.11601826374538099,0.005664085452967878
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.08453311011904764,0.017922098982287936,-4.716696978550899,2.39704288205747e-06,-0.11965977865169394,-0.04940644158640133
